id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2021-14850,2021-03-31,000001,Vente,51970,68,,GR GRANDE RUE,0400,05100,05023,Briançon,05,,,05023000AP0075,,,1,16.7,,,,,,,,,1,2,Appartement,17,1,,,,,,6.643129,44.898255
2021-14851,2021-03-11,000001,Vente,39500,5266,,LE MELEZET,B083,05200,05098,Les Orres,05,,,050980000E2493,,,2,,25,,43,19.23,,,,,3,2,Appartement,20,1,,,,,,6.552941,44.503301
2021-14852,2021-03-13,000001,Vente,28000,5853,F,RUE DES ROCHASSONS,0191,05200,05046,Embrun,05,,,05046000AH0278,,,58,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.500003,44.565468
2021-14853,2021-04-01,000001,Vente,415000,,,LE VERGER,B302,05120,05151,Saint-Martin-de-Queyrières,05,,,051510000A4360,,,,,,,,,,,,,0,,,,,T,terres,,,98,6.580362,44.856803
2021-14853,2021-04-01,000001,Vente,415000,5079,,LE VERGER,B302,05120,05151,Saint-Martin-de-Queyrières,05,,,051510000A5136,,,,,,,,,,,,,0,1,Maison,145,6,S,sols,,,182,6.580321,44.856903
2021-14853,2021-04-01,000001,Vente,415000,5079,,LE VERGER,B302,05120,05151,Saint-Martin-de-Queyrières,05,,,051510000A5136,,,,,,,,,,,,,0,1,Maison,145,6,T,terres,,,520,6.580321,44.856903
2021-14854,2021-04-02,000001,Vente,95800,,,LA BEGUE,B008,05400,05075,Manteyer,05,,,050750000B1098,,,,,,,,,,,,,0,,,,,L,landes,,,40,5.95212,44.549795
2021-14854,2021-04-02,000001,Vente,95800,5313,,RTE DE CEUZE,0050,05400,05075,Manteyer,05,,,050750000B1151,,,,,,,,,,,,,0,1,Maison,40,3,S,sols,,,230,5.952036,44.549732
2021-14855,2021-03-26,000001,Vente,310000,16,,LOT PARADIS,X001,05700,05097,Orpierre,05,,,050970000B1765,,,,,,,,,,,,,0,1,Maison,117,4,S,sols,,,500,5.703223,44.316769
2021-14855,2021-03-26,000001,Vente,310000,16,,LOT PARADIS,X001,05700,05097,Orpierre,05,,,050970000B1765,,,,,,,,,,,,,0,1,Maison,117,4,AG,terrains d'agrément,,,1791,5.703223,44.316769
